Country,Agriculture,Exports,Fertility,Forest_area,GDP_growth,GNI_pc,Gross_capital_formation,High_tech_exports,Imports,Industry,Inflation,Life_expectancy,Merchandise_trade,Military_expenditure,Mobile_subs,Mortality_rate,Pop_density
ARG,5.932404494,16.59181663,2.233,285730,-9.895268964,9080,14.01972973,6.903889092,13.55632492,23.31121838,39.89121743,76.813,24.95899318,0.761486737,121.1703997,8.6,16.58089261
AUS,2.006092285,23.98385353,1.581,1340051,-0.003836559,53680,22.26894702,21.48722101,20.05567262,25.46209587,1.783655358,83.2,34.84217482,2.063042777,107.6593133,3.7,3.340249635
BRA,5.893246266,16.79506843,1.706,4966196,-3.878676334,7800,15.93062205,11.3500476,16.09538367,17.70165264,5.140222397,76.084,25.92329355,1.439168226,96.83635,14.7,25.43142481
CHN,7.698642517,18.54106001,1.7,2199781.8,2.239701857,10530,43.36667433,31.28482564,16.04818951,37.84278691,0.491448371,77.097,31.69947831,1.749795773,119.3901628,7.3,149.7235526
FRA,1.596840451,27.87364408,1.83,172530,-7.855256037,39500,23.81186872,23.14438423,29.89378425,16.44502922,2.524649139,82.17560976,40.67698694,2.073321427,111.4556255,4.4,123.0555139
DEU,0.735309839,43.41689532,1.53,114190,-4.569616717,47520,21.14902184,15.49963156,37.69165212,26.53173217,1.596822656,80.94146341,66.40769942,1.399730368,128.1868547,3.7,238.0241313
IND,18.22892757,18.70889869,2.184,721600,-6.596080522,1910,27.8963067,11.03225685,19.09645489,24.53106619,5.600919236,69.887,24.35112396,2.8826704,83.60189609,32.6,464.1494102
IDN,13.70246601,17.27142134,2.266,921332,-2.065004941,3870,32.35459061,8.4289044,15.70417423,38.25160517,-0.436578123,71.908,28.80241682,0.860574024,130.0145101,23,145.6835435
ITA,2.009908865,29.53251094,1.24,95661.3,-9.025668928,32380,17.70351584,9.047787203,25.87013078,21.60675265,1.375677856,82.34390244,48.96289226,1.567524891,128.3141002,2.9,199.6759715
JPN,1.044270856,15.55855428,1.34,249350,-4.506904542,40810,25.41490804,18.60103385,15.80015735,29.0168416,0.906558991,84.61560976,25.33237507,0.996825438,154.2222888,2.5,346.3950617
KOR,1.832292167,36.44585911,0.837,62870,-0.852031429,32930,31.86101106,35.70851858,32.76966162,32.58263032,1.3129091,83.42682927,59.84086401,2.847240547,137.536175,3,531.5446985
MEX,3.79849642,39.60304651,2.079,656920.8,-8.16735801,8530,19.16165519,21.50524928,37.55572524,29.62062284,4.013473141,75.131,74.53451803,0.573651659,95.31976099,13.7,66.32513851
NLD,1.5823121,77.85662953,1.55,3695,-3.798635993,51070,21.74216812,23.14019618,67.44799055,17.77388935,2.291701276,81.4097561,138.9399364,1.42324474,124.9790486,4.2,518.013068
RUS,4.002044945,25.53121503,1.505,8153116,-2.683296216,10740,23.48406984,9.20403665,20.43073075,29.82706396,0.607605206,71.33878049,38.50074432,4.263449836,163.5893357,5.4,8.797354989
SAU,2.541905099,26.18290495,2.238,9770,-4.137670376,22270,27.62633519,0.608341658,25.8936839,40.10517354,-8.696839516,75.28,44.3369716,8.447598946,124.1328176,7,16.19483135
ESP,3.148006859,30.62093787,1.23,185721.7,-10.82288649,27360,20.69115503,7.767937305,29.14778582,20.37037367,1.103930714,82.33414634,49.51358605,1.402053417,119.0203598,3.2,94.80201998
CHE,0.689423075,62.34201861,1.46,12691.1,-2.392826042,82620,28.35688322,12.84405452,53.54738111,25.24567035,-0.502868266,83.1,81.26295621,0.778520639,127.3066923,4,218.5584179
TUR,6.680559663,28.66485601,2.039,222203.6,1.793551396,9040,31.88623278,3.152724451,32.4757476,28.01876826,14.82641101,77.928,54.05269724,2.772472019,97.37848298,9.5,109.583913
GBR,0.583198977,28.36227627,1.56,31900,-9.270410835,39970,16.7200138,22.99716273,28.06670074,17.107108,5.090975534,80.90243902,37.6430019,2.246546679,116.3818566,4.2,277.2744182
USA,1.059742561,10.1628986,1.6375,3097950,-3.404589652,64140,21.151676,19.48384895,13.27955881,18.43875456,1.205234686,77.2804878,18.33978166,3.741160091,106.1855544,6.3,36.23984468
